Name,Age,City
Bob,23,Chicago
Bob,39,New York
Alice,38,Chicago
Bob,37,New York
Charlie,24,Chicago
Bob,26,Chicago
Charlie,29,Los Angeles
Alice,35,Chicago
Bob,29,New York
Charlie,42,Chicago
Charlie,31,New York
Bob,33,Los Angeles
Bob,33,Chicago
Charlie,36,Los Angeles
Charlie,21,Chicago
Alice,43,New York
Bob,45,Chicago
Bob,21,Chicago
Bob,48,Chicago
Charlie,34,Chicago
Bob,49,New York
Charlie,45,New York
Charlie,49,Chicago
Alice,24,Los Angeles
Alice,39,New York
Charlie,33,New York
Charlie,24,Chicago
Bob,32,Chicago
Bob,42,Los Angeles
Bob,42,New York
Bob,43,Los Angeles
Alice,31,Chicago
Bob,22,New York
Charlie,23,New York
Bob,41,New York
Charlie,50,Los Angeles
Charlie,29,Los Angeles
Charlie,22,Chicago
Alice,39,Chicago
Alice,23,Chicago
Charlie,23,Chicago
Bob,36,Chicago
Charlie,40,Los Angeles
Alice,29,Los Angeles
Charlie,31,Chicago
Alice,21,Chicago
Alice,37,Chicago
Bob,27,Chicago
Charlie,22,New York
Charlie,49,New York
Alice,29,Los Angeles
Bob,45,Chicago
Alice,22,New York
Alice,28,Chicago
Bob,42,Los Angeles
Bob,29,Los Angeles
Alice,37,Los Angeles
Bob,37,Chicago
Bob,29,New York
Bob,46,New York
Bob,34,New York
Alice,35,New York
Alice,33,Chicago
Alice,47,Los Angeles
Bob,36,Los Angeles
Alice,32,Chicago
Charlie,36,Los Angeles
Bob,27,Chicago
Alice,35,New York
Bob,36,New York
Charlie,44,New York
Bob,24,Los Angeles
Charlie,48,Los Angeles
Charlie,42,Los Angeles
Charlie,22,Chicago
Alice,26,New York
Bob,41,Chicago
Alice,27,Chicago
Bob,40,Chicago
Alice,47,New York
Bob,33,Los Angeles
Charlie,34,Los Angeles
Bob,20,Chicago
Bob,42,New York
Charlie,28,Los Angeles
Charlie,46,Chicago
Bob,39,Los Angeles
Charlie,27,New York
Alice,33,Los Angeles
Bob,31,New York
Bob,24,New York
Charlie,29,New York
Charlie,47,New York
Bob,29,Los Angeles
Alice,35,New York
Charlie,47,Chicago
Charlie,48,Los Angeles
Charlie,36,Chicago
Bob,43,Los Angeles
Bob,27,New York
