Name,Age,City
Charlie,30,Chicago
Charlie,50,Chicago
Charlie,23,Chicago
Charlie,20,New York
Alice,31,Los Angeles
Bob,46,Chicago
Bob,49,Chicago
Charlie,30,Los Angeles
Alice,49,New York
Charlie,36,New York
Charlie,21,Chicago
Charlie,46,Los Angeles
Charlie,48,Los Angeles
Bob,21,New York
Alice,23,Los Angeles
Bob,44,Los Angeles
Alice,25,Los Angeles
Charlie,22,Chicago
Bob,45,Chicago
Alice,25,Los Angeles
Alice,32,Chicago
Alice,32,Chicago
Charlie,26,New York
Bob,37,New York
Alice,41,New York
Charlie,22,Los Angeles
Bob,31,Chicago
Alice,24,Los Angeles
Alice,21,Los Angeles
Charlie,23,New York
Bob,37,Chicago
Alice,30,Los Angeles
Alice,34,New York
Charlie,22,Chicago
Bob,31,New York
Bob,36,New York
Charlie,20,New York
Alice,32,New York
Bob,28,Los Angeles
Bob,35,Chicago
Bob,36,Los Angeles
Alice,39,Chicago
Charlie,25,Los Angeles
Alice,35,New York
Alice,21,Chicago
Alice,38,Chicago
Alice,44,New York
Charlie,40,Chicago
Bob,20,New York
Charlie,43,New York
Alice,38,New York
Alice,44,Chicago
Bob,37,Chicago
Charlie,47,New York
Charlie,33,Los Angeles
Bob,31,Los Angeles
Charlie,45,Chicago
Bob,23,Chicago
Alice,43,Los Angeles
Charlie,44,New York
Bob,43,New York
Charlie,39,Los Angeles
Alice,28,Los Angeles
Charlie,27,New York
Bob,44,Los Angeles
Alice,48,New York
Bob,25,New York
Charlie,23,Chicago
Bob,24,Los Angeles
Bob,33,New York
Bob,39,Los Angeles
Alice,39,Chicago
Alice,35,New York
Charlie,25,New York
Alice,24,New York
Alice,38,Chicago
Bob,34,New York
Charlie,42,Chicago
Bob,23,New York
Alice,23,Chicago
Alice,42,Chicago
Alice,36,New York
Alice,30,Los Angeles
Bob,27,Los Angeles
Alice,45,New York
Bob,40,Los Angeles
Bob,35,New York
Bob,22,Los Angeles
Alice,29,Los Angeles
Alice,35,Los Angeles
Charlie,30,New York
Charlie,47,Chicago
Charlie,38,Chicago
Alice,37,Los Angeles
Alice,37,Los Angeles
Bob,46,Los Angeles
Alice,28,Los Angeles
Alice,35,Los Angeles
Alice,28,Chicago
Charlie,46,Chicago
