Name,Age,City
Charlie,41,Los Angeles
Charlie,20,New York
Bob,39,Los Angeles
Alice,48,New York
Charlie,45,New York
Bob,37,Los Angeles
Alice,33,Los Angeles
Charlie,22,New York
Alice,39,Chicago
Alice,47,Chicago
Bob,29,New York
Charlie,27,Los Angeles
Alice,23,Los Angeles
Alice,29,New York
Charlie,44,Los Angeles
Alice,32,Los Angeles
Charlie,49,New York
Charlie,45,Chicago
Alice,50,Los Angeles
Charlie,42,New York
Alice,32,Los Angeles
Charlie,27,Los Angeles
Alice,38,New York
Bob,25,Chicago
Bob,28,New York
Bob,24,Los Angeles
Alice,20,Los Angeles
Alice,23,Chicago
Alice,39,Los Angeles
Charlie,39,Chicago
Alice,29,New York
Charlie,35,New York
Bob,24,New York
Charlie,38,Chicago
Charlie,27,New York
Bob,37,Los Angeles
Bob,40,Chicago
Alice,49,New York
Alice,41,Chicago
Charlie,27,Chicago
Bob,49,Chicago
Charlie,42,Chicago
Charlie,21,New York
Bob,50,Los Angeles
Alice,45,New York
Alice,23,Los Angeles
Charlie,28,New York
Charlie,27,New York
Charlie,30,New York
Alice,29,Chicago
Charlie,39,Chicago
Alice,24,Chicago
Alice,34,Chicago
Bob,43,New York
Bob,43,Los Angeles
Bob,42,Chicago
Bob,21,New York
Charlie,26,Los Angeles
Bob,26,Los Angeles
Bob,41,New York
Charlie,43,New York
Charlie,21,Los Angeles
Charlie,37,Los Angeles
Alice,21,Chicago
Bob,30,Los Angeles
Alice,27,New York
Charlie,45,Los Angeles
Alice,29,Chicago
Alice,27,New York
Alice,34,Los Angeles
Charlie,33,Chicago
Alice,38,Chicago
Bob,32,Chicago
Bob,42,Los Angeles
Alice,36,Chicago
Alice,41,Los Angeles
Alice,24,Los Angeles
Charlie,29,Los Angeles
Charlie,23,Chicago
Charlie,22,New York
Charlie,21,New York
Charlie,41,Chicago
Charlie,29,New York
Alice,47,New York
Alice,22,Chicago
Charlie,31,Chicago
Alice,20,New York
Bob,48,Los Angeles
Alice,22,Los Angeles
Charlie,38,Chicago
Bob,48,Chicago
Bob,38,New York
Bob,50,Chicago
Bob,45,Chicago
Alice,30,New York
Charlie,47,Los Angeles
Bob,36,New York
Charlie,24,Chicago
Bob,21,Chicago
Bob,48,Chicago
