Name,Age,City
Charlie,44,New York
Bob,25,Los Angeles
Bob,39,Los Angeles
Bob,35,Chicago
Bob,21,Chicago
Charlie,43,Los Angeles
Charlie,27,Los Angeles
Bob,24,Los Angeles
Bob,26,Los Angeles
Charlie,50,Chicago
Alice,42,New York
Alice,46,Los Angeles
Charlie,24,Los Angeles
Charlie,25,Los Angeles
Bob,25,Los Angeles
Charlie,33,Los Angeles
Alice,46,Los Angeles
Charlie,44,Los Angeles
Alice,42,Los Angeles
Alice,32,Chicago
Bob,36,Chicago
Bob,43,Los Angeles
Alice,44,Chicago
Alice,45,Los Angeles
Bob,45,Los Angeles
Charlie,24,Los Angeles
Bob,24,New York
Bob,44,Chicago
Bob,31,Los Angeles
Alice,47,Chicago
Alice,32,Los Angeles
Alice,35,New York
Charlie,32,Chicago
Bob,32,Los Angeles
Alice,28,Los Angeles
Charlie,25,Chicago
Alice,31,Chicago
Bob,36,New York
Charlie,29,New York
Charlie,38,New York
Charlie,25,New York
Bob,41,Los Angeles
Alice,27,New York
Charlie,39,Los Angeles
Bob,26,New York
Charlie,47,Chicago
Charlie,22,New York
Charlie,30,Los Angeles
Alice,49,Los Angeles
Charlie,29,New York
Bob,48,Los Angeles
Alice,21,Chicago
Bob,35,Chicago
Bob,26,Chicago
Bob,46,Chicago
Charlie,26,Los Angeles
Alice,30,Los Angeles
Alice,33,Los Angeles
Alice,32,Chicago
Bob,36,New York
Alice,27,Chicago
Alice,45,New York
Alice,25,Chicago
Bob,37,Los Angeles
Bob,36,Chicago
Bob,34,Los Angeles
Alice,20,Chicago
Alice,20,New York
Bob,31,Los Angeles
Bob,46,Los Angeles
Charlie,38,Los Angeles
Charlie,47,Chicago
Charlie,38,Chicago
Bob,28,Chicago
Charlie,38,New York
Charlie,30,Los Angeles
Charlie,35,New York
Alice,43,Chicago
Charlie,46,New York
Charlie,44,Los Angeles
Bob,22,Chicago
Charlie,29,Los Angeles
Bob,35,Los Angeles
Bob,27,New York
Bob,24,Los Angeles
Charlie,41,Chicago
Alice,42,Chicago
Alice,28,New York
Charlie,47,Chicago
Charlie,26,Los Angeles
Charlie,23,Los Angeles
Bob,22,Chicago
Charlie,25,New York
Bob,26,Los Angeles
Bob,36,New York
Alice,38,Los Angeles
Bob,20,New York
Alice,43,Los Angeles
Charlie,43,Chicago
Alice,27,Chicago
