Name,Age,City
Bob,24,Los Angeles
Alice,50,Chicago
Charlie,44,Chicago
Alice,38,New York
Bob,45,Los Angeles
Alice,36,Chicago
Charlie,36,Chicago
Alice,49,Chicago
Bob,21,Chicago
Bob,26,Chicago
Alice,47,Chicago
Charlie,22,New York
Charlie,33,Los Angeles
Charlie,40,New York
Bob,45,Los Angeles
Alice,29,Chicago
Charlie,40,Chicago
Bob,50,Los Angeles
Alice,20,Chicago
Bob,26,Chicago
Bob,47,Los Angeles
Bob,21,Los Angeles
Bob,44,New York
Charlie,46,Chicago
Alice,31,New York
Bob,47,Chicago
Charlie,35,Los Angeles
Alice,30,Los Angeles
Charlie,20,Los Angeles
Alice,20,New York
Alice,28,Los Angeles
Bob,20,Los Angeles
Alice,49,Los Angeles
Charlie,33,Chicago
Alice,37,New York
Alice,20,Los Angeles
Bob,34,Chicago
Bob,41,Los Angeles
Bob,34,Los Angeles
Alice,44,Chicago
Bob,20,New York
Alice,34,Chicago
Charlie,42,Los Angeles
Alice,47,Chicago
Alice,49,Chicago
Bob,50,Chicago
Bob,38,Los Angeles
Charlie,49,Chicago
Charlie,45,Chicago
Charlie,22,New York
Bob,32,Los Angeles
Charlie,39,Chicago
Alice,44,Los Angeles
Bob,47,Los Angeles
Charlie,23,Los Angeles
Bob,48,Los Angeles
Alice,36,Chicago
Charlie,26,Chicago
Alice,34,New York
Bob,39,Chicago
Bob,40,Los Angeles
Bob,32,New York
Alice,39,New York
Alice,41,Chicago
Bob,27,Los Angeles
Alice,20,New York
Alice,27,New York
Alice,49,Chicago
Bob,38,New York
Charlie,28,Chicago
Alice,35,Los Angeles
Bob,44,Chicago
Charlie,21,Chicago
Alice,35,Chicago
Bob,43,Chicago
Alice,27,Chicago
Bob,22,Los Angeles
Charlie,45,Chicago
Alice,20,Los Angeles
Alice,38,New York
Bob,24,Chicago
Bob,27,Chicago
Bob,49,New York
Alice,42,Los Angeles
Charlie,32,Los Angeles
Charlie,47,Chicago
Bob,36,Los Angeles
Charlie,30,Los Angeles
Alice,41,New York
Bob,34,Los Angeles
Alice,48,Chicago
Alice,27,New York
Charlie,43,Chicago
Alice,27,Chicago
Alice,49,New York
Bob,49,Los Angeles
Charlie,44,Chicago
Charlie,20,New York
Bob,45,Los Angeles
Charlie,43,Los Angeles
