Name,Age,City
Alice,26,Chicago
Alice,20,Chicago
Bob,25,New York
Charlie,24,Chicago
Alice,21,New York
Bob,38,New York
Charlie,27,New York
Bob,36,Chicago
Bob,38,Chicago
Alice,39,Chicago
Alice,27,New York
Bob,35,New York
Charlie,34,New York
Charlie,45,Chicago
Charlie,24,Chicago
Alice,42,New York
Charlie,28,Los Angeles
Bob,44,New York
Bob,21,Chicago
Alice,50,New York
Alice,48,Chicago
Bob,26,Chicago
Charlie,22,Los Angeles
Charlie,41,Los Angeles
Charlie,31,New York
Charlie,20,Chicago
Charlie,47,Los Angeles
Bob,24,Chicago
Charlie,39,New York
Bob,50,Los Angeles
Charlie,27,New York
Alice,42,Chicago
Charlie,38,New York
Charlie,49,Los Angeles
Charlie,44,New York
Charlie,31,Los Angeles
Charlie,34,Chicago
Charlie,48,Los Angeles
Charlie,20,Chicago
Charlie,28,Los Angeles
Charlie,35,Los Angeles
Bob,45,Los Angeles
Charlie,27,New York
Alice,43,Chicago
Bob,40,New York
Charlie,42,Los Angeles
Charlie,24,Chicago
Bob,46,Chicago
Charlie,35,Chicago
Alice,45,New York
Alice,35,Los Angeles
Bob,39,Los Angeles
Charlie,48,New York
Bob,40,New York
Bob,41,Chicago
Bob,25,New York
Charlie,44,New York
Bob,49,New York
Bob,31,Chicago
Charlie,44,Chicago
Charlie,21,New York
Bob,40,Chicago
Charlie,50,New York
Bob,44,Los Angeles
Alice,21,Chicago
Charlie,41,Los Angeles
Alice,50,Chicago
Charlie,35,New York
Bob,33,New York
Alice,34,Los Angeles
Bob,21,Los Angeles
Bob,20,Los Angeles
Charlie,45,Los Angeles
Charlie,37,Los Angeles
Charlie,32,Chicago
Bob,49,Chicago
Bob,41,Los Angeles
Charlie,41,Chicago
Charlie,23,Chicago
Bob,40,New York
Charlie,24,Chicago
Bob,45,Los Angeles
Bob,40,Chicago
Bob,30,Los Angeles
Charlie,26,Los Angeles
Alice,35,Chicago
Alice,50,Chicago
Alice,33,New York
Alice,47,New York
Charlie,27,New York
Bob,35,New York
Alice,26,Chicago
Bob,48,Los Angeles
Alice,29,Los Angeles
Alice,46,Chicago
Bob,47,New York
Charlie,30,Chicago
Bob,26,New York
Alice,21,Chicago
Charlie,33,Los Angeles
