Name,Age,City
Bob,46,New York
Alice,42,Los Angeles
Alice,45,New York
Charlie,39,Los Angeles
Bob,24,New York
Charlie,27,Chicago
Charlie,28,Los Angeles
Alice,37,Los Angeles
Alice,29,New York
Alice,31,Los Angeles
Charlie,37,New York
Alice,44,Chicago
Alice,38,Chicago
Bob,48,Chicago
Bob,33,New York
Alice,36,Chicago
Charlie,35,Los Angeles
Alice,42,Los Angeles
Alice,33,New York
Charlie,21,New York
Charlie,42,Chicago
Alice,40,Chicago
Bob,36,New York
Alice,33,Los Angeles
Alice,43,Los Angeles
Charlie,34,New York
Charlie,42,Chicago
Bob,20,Los Angeles
Alice,20,Chicago
Bob,34,Chicago
Bob,44,Chicago
Charlie,43,Chicago
Charlie,22,New York
Alice,34,Chicago
Charlie,45,Chicago
Alice,46,Chicago
Bob,20,New York
Alice,26,Chicago
Charlie,32,New York
Bob,36,Chicago
Alice,45,Los Angeles
Bob,20,Los Angeles
Alice,33,Chicago
Alice,32,Chicago
Bob,46,New York
Charlie,45,Los Angeles
Bob,24,New York
Charlie,48,New York
Charlie,26,New York
Bob,42,Los Angeles
Alice,37,New York
Alice,23,Los Angeles
Charlie,46,New York
Charlie,44,Chicago
Bob,45,New York
Charlie,22,Los Angeles
Bob,45,Chicago
Alice,42,Los Angeles
Alice,20,Chicago
Alice,32,Chicago
Alice,44,Los Angeles
Alice,26,Los Angeles
Charlie,35,Chicago
Charlie,27,Chicago
Bob,48,New York
Bob,23,Los Angeles
Alice,43,Chicago
Alice,36,Los Angeles
Alice,27,New York
Bob,36,Chicago
Bob,38,New York
Charlie,26,New York
Charlie,50,New York
Bob,43,Los Angeles
Alice,48,Los Angeles
Bob,42,New York
Charlie,29,Chicago
Bob,37,Chicago
Charlie,40,Los Angeles
Alice,42,Chicago
Alice,48,Los Angeles
Bob,22,Los Angeles
Bob,34,Los Angeles
Alice,38,New York
Bob,23,Los Angeles
Alice,30,New York
Alice,42,Chicago
Alice,32,New York
Charlie,42,Los Angeles
Alice,46,Los Angeles
Alice,35,New York
Charlie,21,Chicago
Charlie,42,Los Angeles
Alice,37,New York
Alice,44,Chicago
Alice,35,Los Angeles
Charlie,23,Los Angeles
Alice,41,Chicago
Bob,46,Los Angeles
Bob,28,Los Angeles
