Name,Age,City
Alice,27,New York
Charlie,26,Los Angeles
Charlie,29,New York
Charlie,35,Los Angeles
Alice,22,Los Angeles
Charlie,42,Chicago
Bob,28,Los Angeles
Alice,39,Chicago
Alice,33,Chicago
Bob,42,Los Angeles
Alice,35,Los Angeles
Alice,26,New York
Bob,34,New York
Alice,49,Chicago
Charlie,21,Chicago
Charlie,22,New York
Bob,31,New York
Alice,25,Los Angeles
Alice,44,Los Angeles
Bob,28,New York
Alice,30,New York
Charlie,41,Los Angeles
Alice,50,Chicago
Bob,32,Chicago
Bob,33,Chicago
Charlie,23,New York
Bob,47,New York
Charlie,29,Chicago
Alice,36,New York
Bob,30,New York
Charlie,22,Chicago
Bob,47,Los Angeles
Alice,27,Los Angeles
Bob,34,Los Angeles
Alice,29,Chicago
Alice,33,Los Angeles
Alice,22,Chicago
Bob,35,New York
Alice,44,Los Angeles
Charlie,45,Chicago
Alice,37,Chicago
Charlie,32,New York
Bob,44,Los Angeles
Charlie,30,New York
Alice,34,Los Angeles
Charlie,43,Los Angeles
Alice,46,Chicago
Alice,24,Los Angeles
Alice,34,Chicago
Charlie,46,Los Angeles
Bob,25,Los Angeles
Alice,32,Los Angeles
Bob,20,Chicago
Alice,27,Los Angeles
Alice,38,Los Angeles
Charlie,35,Chicago
Charlie,37,Los Angeles
Charlie,48,Chicago
Charlie,41,Los Angeles
Alice,20,New York
Charlie,36,Los Angeles
Bob,40,Chicago
Charlie,28,Chicago
Alice,43,Chicago
Bob,41,New York
Alice,20,New York
Charlie,34,Los Angeles
Charlie,42,Chicago
Alice,44,Chicago
Charlie,37,Chicago
Charlie,45,New York
Alice,29,Chicago
Alice,29,New York
Bob,34,Chicago
Charlie,26,Los Angeles
Bob,50,New York
Alice,40,Chicago
Bob,31,Los Angeles
Charlie,34,Los Angeles
Bob,24,Los Angeles
Bob,25,Chicago
Charlie,24,New York
Bob,20,Chicago
Alice,42,Los Angeles
Bob,28,New York
Alice,40,Chicago
Charlie,31,Los Angeles
Charlie,26,Chicago
Bob,23,Los Angeles
Bob,27,New York
Alice,39,Chicago
Charlie,28,Los Angeles
Bob,43,Los Angeles
Alice,20,New York
Bob,40,New York
Bob,28,New York
Bob,32,Chicago
Alice,49,Chicago
Charlie,41,Los Angeles
Alice,21,New York
