Name,Age,City
Bob,40,New York
Bob,42,New York
Alice,22,New York
Charlie,45,Chicago
Charlie,48,Chicago
Bob,47,Chicago
Alice,42,New York
Bob,44,Chicago
Charlie,27,Chicago
Alice,26,Los Angeles
Charlie,42,Chicago
Charlie,29,Chicago
Bob,23,New York
Charlie,44,New York
Charlie,32,Los Angeles
Bob,39,Chicago
Charlie,44,New York
Charlie,30,New York
Bob,20,New York
Charlie,42,New York
Bob,40,New York
Alice,46,Chicago
Alice,50,Los Angeles
Bob,23,Chicago
Charlie,42,Los Angeles
Alice,44,Los Angeles
Bob,36,New York
Bob,49,Chicago
Bob,20,Chicago
Alice,43,New York
Charlie,23,New York
Bob,47,Los Angeles
Charlie,23,New York
Alice,31,New York
Bob,24,Los Angeles
Charlie,46,Los Angeles
Charlie,27,New York
Alice,36,New York
Charlie,44,Chicago
Bob,49,New York
Charlie,37,Chicago
Charlie,35,New York
Alice,30,Los Angeles
Bob,34,New York
Alice,50,Los Angeles
Bob,46,Los Angeles
Charlie,27,Los Angeles
Charlie,33,New York
Alice,31,Chicago
Alice,21,Los Angeles
Charlie,34,New York
Alice,30,Los Angeles
Bob,34,New York
Bob,48,New York
Alice,50,Los Angeles
Bob,37,Los Angeles
Charlie,48,New York
Alice,49,Los Angeles
Charlie,21,Chicago
Bob,28,Los Angeles
Charlie,43,New York
Charlie,36,Los Angeles
Bob,31,Los Angeles
Charlie,30,Chicago
Bob,47,Los Angeles
Charlie,48,New York
Alice,33,Los Angeles
Bob,25,New York
Bob,33,Los Angeles
Charlie,24,Chicago
Charlie,27,Chicago
Bob,29,Chicago
Charlie,30,New York
Charlie,22,Los Angeles
Bob,37,New York
Charlie,43,Chicago
Charlie,20,Los Angeles
Bob,29,Los Angeles
Bob,29,Los Angeles
Bob,25,Los Angeles
Bob,29,Los Angeles
Alice,20,Los Angeles
Bob,49,Chicago
Alice,43,New York
Alice,46,New York
Bob,41,Los Angeles
Alice,45,Los Angeles
Bob,31,New York
Alice,42,New York
Bob,25,Los Angeles
Bob,23,Chicago
Charlie,40,New York
Charlie,45,Chicago
Charlie,41,Chicago
Charlie,42,Los Angeles
Bob,37,Chicago
Bob,26,Chicago
Charlie,43,New York
Bob,28,Chicago
Alice,22,Chicago
