Name,Age,City
Alice,30,New York
Charlie,45,Los Angeles
Bob,45,Los Angeles
Bob,40,Los Angeles
Charlie,43,Los Angeles
Charlie,38,New York
Alice,28,Chicago
Alice,37,Los Angeles
Bob,37,Los Angeles
Charlie,22,New York
Charlie,39,New York
Alice,45,Los Angeles
Alice,21,New York
Bob,37,Chicago
Alice,43,New York
Alice,21,Chicago
Alice,31,Los Angeles
Alice,20,Chicago
Alice,29,New York
Alice,33,Los Angeles
Bob,35,Chicago
Bob,23,Chicago
Charlie,35,Chicago
Bob,31,Los Angeles
Alice,21,New York
Bob,50,Chicago
Alice,37,Chicago
Bob,35,Los Angeles
Charlie,38,Chicago
Charlie,32,New York
Alice,43,Los Angeles
Alice,26,Los Angeles
Alice,42,New York
Alice,27,New York
Charlie,44,New York
Alice,42,Los Angeles
Charlie,27,Chicago
Bob,21,Chicago
Alice,21,Los Angeles
Alice,29,Chicago
Bob,28,Chicago
Charlie,47,Chicago
Charlie,22,Los Angeles
Charlie,43,New York
Alice,35,Los Angeles
Charlie,31,Chicago
Charlie,47,Chicago
Charlie,42,New York
Bob,29,Chicago
Bob,39,New York
Charlie,42,Chicago
Alice,33,New York
Alice,43,New York
Charlie,27,Chicago
Bob,32,Los Angeles
Charlie,48,New York
Charlie,34,New York
Charlie,38,Chicago
Charlie,49,Los Angeles
Charlie,33,Chicago
Bob,20,New York
Charlie,34,New York
Bob,35,Los Angeles
Bob,49,New York
Bob,43,Los Angeles
Alice,34,New York
Charlie,25,New York
Bob,35,New York
Bob,20,New York
Bob,47,New York
Bob,40,Chicago
Charlie,21,Los Angeles
Bob,24,Chicago
Alice,49,Chicago
Charlie,23,New York
Charlie,43,Los Angeles
Alice,22,New York
Charlie,39,Chicago
Charlie,40,Los Angeles
Alice,34,New York
Alice,44,Chicago
Charlie,44,New York
Alice,40,Los Angeles
Charlie,48,Los Angeles
Bob,50,Chicago
Alice,47,Los Angeles
Bob,25,Chicago
Charlie,41,Chicago
Charlie,21,Los Angeles
Bob,37,Chicago
Bob,43,Chicago
Alice,29,Los Angeles
Alice,28,New York
Charlie,44,Los Angeles
Bob,35,Los Angeles
Charlie,24,New York
Bob,38,Chicago
Bob,40,Chicago
Charlie,37,Chicago
Charlie,20,New York
