Name,Age,City
Bob,31,Los Angeles
Charlie,46,Los Angeles
Bob,39,New York
Bob,45,New York
Bob,29,Chicago
Alice,37,Los Angeles
Charlie,21,New York
Alice,34,Chicago
Alice,28,Los Angeles
Bob,34,Chicago
Bob,43,Chicago
Charlie,39,Chicago
Charlie,29,Chicago
Charlie,47,New York
Alice,34,Chicago
Alice,49,Chicago
Charlie,31,Los Angeles
Charlie,22,Chicago
Charlie,49,Chicago
Alice,34,Los Angeles
Bob,29,Chicago
Alice,49,Chicago
Charlie,33,New York
Charlie,37,New York
Charlie,38,Los Angeles
Bob,30,Chicago
Alice,47,New York
Bob,24,New York
Bob,21,Los Angeles
Charlie,36,Chicago
Charlie,40,New York
Bob,21,Chicago
Charlie,39,New York
Bob,30,New York
Alice,21,Chicago
Bob,38,New York
Bob,44,Chicago
Alice,37,New York
Alice,44,Los Angeles
Charlie,46,Chicago
Charlie,32,Los Angeles
Alice,22,New York
Bob,44,Chicago
Bob,29,Los Angeles
Alice,24,New York
Bob,36,New York
Alice,29,Los Angeles
Alice,20,New York
Alice,36,Los Angeles
Bob,38,Chicago
Charlie,29,New York
Alice,49,Chicago
Alice,21,Los Angeles
Bob,24,New York
Charlie,28,New York
Bob,42,Los Angeles
Charlie,46,New York
Bob,32,New York
Alice,20,New York
Charlie,25,Los Angeles
Bob,33,Los Angeles
Bob,49,Chicago
Alice,40,Chicago
Charlie,49,Chicago
Charlie,35,Los Angeles
Alice,23,New York
Bob,38,Chicago
Alice,46,Los Angeles
Bob,22,New York
Bob,28,Los Angeles
Alice,40,New York
Alice,23,Chicago
Bob,37,New York
Bob,50,Los Angeles
Charlie,31,Los Angeles
Alice,42,New York
Charlie,33,Los Angeles
Bob,45,New York
Charlie,39,Los Angeles
Charlie,44,Los Angeles
Bob,24,New York
Charlie,43,Chicago
Bob,47,New York
Bob,27,New York
Charlie,28,New York
Charlie,30,Los Angeles
Bob,46,New York
Charlie,49,New York
Charlie,20,New York
Bob,26,Chicago
Alice,45,Los Angeles
Bob,44,New York
Charlie,27,Los Angeles
Alice,34,New York
Alice,25,Los Angeles
Bob,25,New York
Charlie,46,New York
Charlie,29,Los Angeles
Charlie,34,Chicago
Charlie,37,Chicago
