Name,Age,City
Bob,33,New York
Charlie,39,Chicago
Bob,47,New York
Charlie,34,Chicago
Charlie,48,Los Angeles
Alice,30,Chicago
Bob,50,Los Angeles
Bob,45,New York
Bob,34,Chicago
Charlie,32,Los Angeles
Charlie,43,Chicago
Charlie,44,New York
Bob,37,Chicago
Alice,44,New York
Charlie,31,Chicago
Bob,23,New York
Bob,23,Los Angeles
Alice,29,New York
Bob,41,New York
Alice,36,New York
Bob,30,Los Angeles
Bob,37,Chicago
Charlie,36,Chicago
Charlie,25,Los Angeles
Alice,36,Los Angeles
Alice,36,Los Angeles
Bob,41,Los Angeles
Alice,30,New York
Charlie,40,Chicago
Alice,46,Los Angeles
Charlie,30,Chicago
Charlie,20,New York
Bob,35,Los Angeles
Charlie,25,Los Angeles
Alice,36,Chicago
Alice,46,New York
Bob,22,Los Angeles
Charlie,32,Chicago
Charlie,25,New York
Alice,40,Los Angeles
Charlie,27,New York
Bob,22,Los Angeles
Alice,24,Chicago
Charlie,36,New York
Alice,49,New York
Bob,20,New York
Bob,30,New York
Charlie,34,New York
Bob,30,Chicago
Charlie,48,Chicago
Alice,33,Chicago
Bob,36,New York
Bob,37,Los Angeles
Charlie,35,Chicago
Bob,27,New York
Alice,33,New York
Charlie,34,New York
Bob,32,Los Angeles
Bob,41,Chicago
Alice,33,Los Angeles
Charlie,44,Chicago
Charlie,33,Los Angeles
Bob,28,New York
Charlie,41,Chicago
Alice,26,New York
Alice,24,New York
Charlie,28,Los Angeles
Alice,46,Los Angeles
Bob,38,Chicago
Bob,49,Chicago
Charlie,37,Chicago
Charlie,25,New York
Bob,31,New York
Bob,38,Chicago
Charlie,44,Los Angeles
Charlie,37,Los Angeles
Alice,35,Los Angeles
Charlie,38,Los Angeles
Bob,36,New York
Alice,30,Chicago
Bob,24,Los Angeles
Bob,44,Los Angeles
Alice,28,Los Angeles
Bob,35,Los Angeles
Alice,32,New York
Bob,48,Los Angeles
Charlie,42,Los Angeles
Bob,47,Los Angeles
Alice,21,Chicago
Alice,43,Chicago
Alice,26,Los Angeles
Charlie,40,Los Angeles
Bob,48,Los Angeles
Bob,35,Chicago
Bob,34,New York
Charlie,33,Chicago
Charlie,24,Chicago
Alice,20,Chicago
Charlie,30,New York
Bob,50,Chicago
