Name,Age,City
Charlie,39,New York
Charlie,25,New York
Bob,43,Los Angeles
Alice,48,New York
Alice,23,Los Angeles
Charlie,35,New York
Alice,31,Los Angeles
Alice,34,Chicago
Alice,24,Chicago
Alice,49,Los Angeles
Alice,35,Chicago
Alice,36,Los Angeles
Alice,20,Los Angeles
Bob,34,Los Angeles
Alice,42,Los Angeles
Alice,44,New York
Charlie,39,Chicago
Bob,47,New York
Bob,31,Los Angeles
Charlie,20,Los Angeles
Alice,43,Los Angeles
Alice,45,New York
Alice,29,Chicago
Alice,20,New York
Charlie,50,Los Angeles
Alice,22,New York
Bob,41,Chicago
Bob,43,Chicago
Alice,22,Los Angeles
Bob,26,Chicago
Charlie,30,Chicago
Alice,25,New York
Charlie,22,Chicago
Bob,47,Los Angeles
Alice,37,Chicago
Bob,27,New York
Bob,34,Chicago
Bob,22,Los Angeles
Bob,40,New York
Bob,36,Chicago
Bob,37,Chicago
Bob,46,New York
Alice,22,New York
Bob,29,New York
Charlie,38,New York
Alice,48,Los Angeles
Charlie,41,New York
Alice,32,Los Angeles
Alice,47,New York
Charlie,30,Chicago
Alice,20,New York
Alice,41,Los Angeles
Bob,42,Chicago
Bob,42,New York
Alice,21,New York
Bob,34,Chicago
Alice,36,Chicago
Alice,30,New York
Bob,40,New York
Charlie,36,New York
Charlie,41,Chicago
Bob,25,Los Angeles
Alice,49,Los Angeles
Bob,27,Los Angeles
Bob,22,Los Angeles
Alice,26,Los Angeles
Alice,44,Chicago
Bob,40,New York
Bob,25,New York
Alice,24,New York
Bob,48,Los Angeles
Alice,29,Los Angeles
Charlie,38,New York
Bob,28,Chicago
Charlie,30,Los Angeles
Alice,50,Los Angeles
Charlie,49,Los Angeles
Bob,27,Chicago
Bob,25,Chicago
Charlie,29,Los Angeles
Alice,25,Los Angeles
Bob,48,New York
Charlie,21,New York
Alice,35,Chicago
Alice,21,Chicago
Alice,34,Los Angeles
Bob,34,Los Angeles
Alice,23,Chicago
Charlie,26,Chicago
Alice,27,Chicago
Bob,46,New York
Charlie,27,Chicago
Bob,37,New York
Bob,39,Chicago
Charlie,47,Los Angeles
Charlie,44,Los Angeles
Charlie,50,Chicago
Charlie,27,Chicago
Bob,45,Los Angeles
Bob,22,New York
