Name,Age,City
Charlie,40,New York
Bob,44,Los Angeles
Alice,31,Los Angeles
Bob,37,New York
Alice,45,New York
Charlie,38,Chicago
Charlie,25,New York
Charlie,34,Los Angeles
Charlie,37,Los Angeles
Bob,43,New York
Alice,49,Los Angeles
Alice,49,Chicago
Bob,38,Los Angeles
Alice,34,Chicago
Bob,41,Los Angeles
Alice,37,New York
Charlie,32,Chicago
Charlie,26,Los Angeles
Bob,37,New York
Bob,20,Chicago
Alice,23,New York
Charlie,36,Chicago
Alice,31,Los Angeles
Bob,31,Chicago
Charlie,39,New York
Bob,31,New York
Bob,20,Los Angeles
Bob,21,Los Angeles
Charlie,49,Los Angeles
Charlie,33,Chicago
Alice,41,Chicago
Bob,48,Chicago
Alice,33,Los Angeles
Charlie,38,Los Angeles
Bob,47,Chicago
Alice,20,Los Angeles
Bob,39,Chicago
Bob,43,Los Angeles
Charlie,21,New York
Bob,24,Chicago
Charlie,46,Los Angeles
Charlie,27,Chicago
Alice,42,Los Angeles
Alice,37,Los Angeles
Alice,24,Los Angeles
Charlie,47,Chicago
Bob,23,Los Angeles
Bob,47,Chicago
Charlie,46,New York
Alice,37,Chicago
Bob,37,New York
Bob,44,Los Angeles
Alice,26,Chicago
Charlie,50,New York
Bob,33,New York
Bob,37,Chicago
Alice,41,Los Angeles
Alice,47,New York
Charlie,41,Chicago
Alice,26,Chicago
Charlie,21,Los Angeles
Alice,48,Chicago
Charlie,34,Los Angeles
Charlie,29,Chicago
Bob,27,Chicago
Charlie,47,Chicago
Alice,40,Los Angeles
Alice,43,New York
Bob,20,Los Angeles
Alice,26,Chicago
Bob,24,New York
Charlie,47,Los Angeles
Alice,27,New York
Bob,21,Chicago
Bob,40,Los Angeles
Alice,40,Los Angeles
Bob,42,New York
Bob,36,Chicago
Bob,39,New York
Alice,49,Chicago
Charlie,20,New York
Alice,22,Chicago
Charlie,39,Los Angeles
Alice,48,New York
Bob,31,Chicago
Bob,30,New York
Alice,26,Chicago
Alice,47,Chicago
Charlie,22,New York
Alice,44,Los Angeles
Bob,29,Los Angeles
Alice,23,New York
Alice,22,New York
Alice,33,New York
Bob,44,New York
Alice,26,Chicago
Charlie,36,New York
Charlie,20,Chicago
Charlie,21,Chicago
Bob,35,Los Angeles
