Name,Age,City
Alice,39,Chicago
Charlie,46,New York
Bob,23,New York
Bob,39,New York
Bob,39,Los Angeles
Alice,38,Los Angeles
Alice,44,Chicago
Alice,20,Chicago
Alice,43,New York
Bob,50,New York
Alice,34,Los Angeles
Charlie,23,New York
Bob,47,New York
Bob,21,Chicago
Bob,21,New York
Bob,46,New York
Charlie,40,Chicago
Charlie,47,Los Angeles
Charlie,47,Los Angeles
Alice,32,Chicago
Bob,25,Chicago
Alice,26,New York
Charlie,43,Chicago
Bob,25,Los Angeles
Alice,29,New York
Alice,49,Chicago
Charlie,39,Chicago
Alice,34,New York
Alice,30,Los Angeles
Charlie,34,Los Angeles
Alice,29,Los Angeles
Charlie,39,Chicago
Alice,25,New York
Charlie,41,Los Angeles
Alice,50,New York
Charlie,43,Chicago
Alice,27,Chicago
Alice,29,New York
Charlie,43,Chicago
Bob,37,New York
Bob,27,Chicago
Charlie,36,New York
Charlie,38,New York
Alice,32,Chicago
Charlie,35,Chicago
Charlie,49,New York
Charlie,36,New York
Alice,39,Chicago
Charlie,40,Los Angeles
Bob,38,New York
Bob,41,Chicago
Alice,36,Los Angeles
Charlie,26,Los Angeles
Charlie,29,New York
Alice,20,Chicago
Bob,21,Los Angeles
Charlie,32,New York
Alice,30,Los Angeles
Charlie,41,Los Angeles
Bob,31,Chicago
Charlie,27,Chicago
Bob,34,Chicago
Charlie,45,Chicago
Alice,20,Chicago
Bob,36,Chicago
Alice,22,Chicago
Charlie,25,Los Angeles
Alice,44,Chicago
Bob,33,New York
Alice,48,New York
Charlie,45,Chicago
Charlie,21,Los Angeles
Bob,23,New York
Alice,46,Los Angeles
Charlie,42,Chicago
Bob,25,New York
Charlie,38,Los Angeles
Alice,32,Chicago
Charlie,46,Chicago
Alice,35,Los Angeles
Alice,40,Chicago
Alice,29,Chicago
Alice,31,Los Angeles
Bob,44,Chicago
Alice,23,Chicago
Alice,36,Chicago
Bob,39,New York
Bob,45,New York
Alice,45,New York
Charlie,38,New York
Bob,33,Los Angeles
Alice,41,New York
Alice,23,Chicago
Bob,20,Los Angeles
Alice,24,Chicago
Bob,35,New York
Alice,27,New York
Charlie,31,New York
Bob,25,Chicago
Bob,32,New York
